,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M
0,-35.6274309934,-36.5940386914,-37.0875862696,-37.5087627287,-37.5497297316,-36.8497422015,-36.584260611,-35.9675184025,-37.3890868354,-37.6461812629,-37.6443271389,-37.4690844144,-36.8762254131,-36.8121359888,-36.6742571957,-36.5447585908,-36.2409993295,-36.0285855677,-35.7061673538,-35.6810323227
1,-35.5539367197,-36.6058930118,-37.1022656003,-37.5299524604,-37.5406191088,-36.8327048434,-36.5576813695,-35.9889878795,-37.3918440549,-37.6881919612,-37.6394527825,-37.4610710379,-36.9030112936,-36.7573299029,-36.6365600884,-36.5280805553,-36.2484240989,-36.0521128606,-35.7459792218,-35.7175680596
2,-35.5282025491,-36.6411219843,-37.1370900167,-37.5370813698,-37.4932041164,-36.7683826344,-36.5066957458,-36.0038631735,-37.3923466597,-37.7069081489,-37.5958442989,-37.41602087,-36.8842870793,-36.6528945542,-36.5632972693,-36.4937711124,-36.2503743602,-36.0702057463,-35.7783107717,-35.7436196907
3,-35.5741167472,-36.7092171197,-37.186288192,-37.5157772391,-37.3934628367,-36.6536640522,-36.4267975053,-36.002026426,-37.3740972342,-37.6927516114,-37.5008502222,-37.3194733032,-36.8101504389,-36.5052817035,-36.4518728225,-36.4321622023,-36.2363268881,-36.0702733449,-35.7944425519,-35.7501428487
4,-35.7278690283,-36.8213903059,-37.242604797,-37.4256543285,-37.2233980508,-36.5090380601,-36.3327212342,-35.9792233961,-37.3124473835,-37.587319031,-37.3274005231,-37.1590315495,-36.6862288389,-36.3502069421,-36.3287148341,-36.3502647909,-36.201523397,-36.047341212,-35.7903945259,-35.7343361722
5,-39.1297490236,-39.112834636,-38.9942503744,-38.7347193046,-38.341782603,-37.7551030754,-37.284993523,-36.8557743196,-38.8023045009,-38.646159917,-38.4597283926,-38.245634521,-37.9262314061,-37.6031718415,-37.3847938956,-37.2350897152,-37.007224421,-36.9082249458,-36.7441779901,-36.6777766155
6,-39.133837791,-39.1036165451,-38.9989146342,-38.7682892464,-38.3724704891,-37.7735015619,-37.2980305799,-36.8625760749,-38.8345483809,-38.6771835434,-38.4909913873,-38.2756130787,-37.9493718752,-37.619158269,-37.3991364323,-37.2477293745,-37.0157518608,-36.915352595,-36.7492551599,-36.6832244802
7,-39.1266520574,-39.0915644486,-38.994212649,-38.7883615299,-38.3886237087,-37.7827439441,-37.3037672394,-36.8639705285,-38.8521455753,-38.6958664592,-38.5070040111,-38.2917822492,-37.9628748199,-37.6261004297,-37.4054344999,-37.2532400205,-37.0191214648,-36.9174153244,-36.7484502179,-36.6829234916
8,-39.117351075,-39.0828484921,-38.9881488519,-38.8018844095,-38.3976163851,-37.7883543068,-37.3065894277,-36.8636624814,-38.8620319697,-38.7111884514,-38.5158841072,-38.3009891916,-37.9710526999,-37.6297918179,-37.4086062905,-37.2560824965,-37.0206184102,-36.9180581869,-36.7462198386,-36.681107963
9,-40.2179488308,-39.9902630207,-39.707072944,-39.2649219728,-38.795068029,-38.1688323663,-37.6839593224,-37.2432457168,-39.3680111325,-39.1260245874,-38.9222495015,-38.6901340832,-38.3502443796,-38.0106889889,-37.7865247757,-37.6324809491,-37.396948977,-37.2957087483,-37.1273622768,-37.0615256835
10,-40.2283907186,-39.9804955023,-39.7146736814,-39.2777700453,-38.8039189747,-38.1782497524,-37.6944401768,-37.2521237116,-39.3842255901,-39.1302700794,-38.9269286619,-38.702138932,-38.3641872072,-38.0196669537,-37.7970158162,-37.6431819737,-37.4058188282,-37.3046372,-37.1342511926,-37.0704172215
11,-40.7840478503,-40.4604497297,-40.1119140317,-39.639228423,-39.1336317641,-38.4862875151,-37.9889465315,-37.5398728768,-39.749960064,-39.4866903615,-39.2672379791,-39.0235584977,-38.6735960701,-38.3217835469,-38.0931284488,-37.9364589964,-37.696560906,-37.5927897578,-37.4227688614,-37.3546977848
12,-40.7704198176,-40.4392161501,-40.1009475441,-39.6256486775,-39.1184127255,-38.4705723353,-37.973984285,-37.5240855072,-39.73841915,-39.4681665767,-39.2499291866,-39.0096729531,-38.6605969577,-38.3060126926,-38.0782394407,-37.921641047,-37.6806138294,-37.5770171463,-37.4055377683,-37.3390439241
13,-41.1580505228,-40.7790551999,-40.3947763326,-39.9039449118,-39.377685827,-38.7177653675,-38.2129940548,-37.7587076633,-40.0193232469,-39.7429118073,-39.5146093771,-39.2648701472,-38.9089221847,-38.5496297467,-38.3182601513,-38.15989997,-37.9167764893,-37.8116138102,-37.6409408074,-37.5723511876
14,-41.1429444437,-40.7592178822,-40.3830437027,-39.8904188587,-39.3631047079,-38.7028943695,-38.1986305422,-37.7438828999,-40.007230056,-39.7260363868,-39.498407982,-39.251325618,-38.8959922271,-38.5346882825,-38.3039304042,-38.1456018265,-37.9020295673,-37.7968966373,-37.6242142438,-37.5573943093
15,-41.4636926179,-41.0444519863,-40.6332694142,-40.1263338081,-39.5832535057,-38.911740472,-38.3997890165,-37.9401056656,-40.2454311945,-39.9588212402,-39.7231392016,-39.4679611842,-39.1062766984,-38.7404283562,-38.5062061211,-38.3460365533,-38.0996731079,-37.9932686398,-37.8215855443,-37.7516257554
16,-41.4316118495,-41.0106999259,-40.6074147954,-40.1003120609,-39.5575178032,-38.887073549,-38.3763878566,-37.9172896048,-40.2201323785,-39.9307442601,-39.6957491346,-39.4433238043,-39.082811111,-38.7160205228,-38.4826406888,-38.3227177531,-38.0767463316,-37.970447673,-37.7974314964,-37.7288527003
17,-41.6846403674,-41.2342679923,-40.8094878669,-40.2890334527,-39.7324973311,-39.0515938626,-38.5340891481,-38.0698071533,-40.4116647379,-40.1148347726,-39.8734349683,-39.6160277008,-39.2500976066,-38.8777197463,-38.6414312392,-38.4797089477,-38.230900712,-38.1233613013,-37.948697098,-37.879292197
18,-41.9186622111,-41.4457832461,-41.0031450155,-40.4713817769,-39.9029858721,-39.2115144385,-38.6869548736,-38.2172831893,-40.596407898,-40.2932709705,-40.0463847122,-39.7843665282,-39.4128837302,-39.0348270121,-38.7955069915,-38.6318072382,-38.3800536331,-38.271383185,-38.0946343646,-38.0245267683
19,-42.1348617758,-41.6438271723,-41.1862138247,-40.6452297195,-40.0675619326,-39.368079052,-38.8387186876,-38.365800977,-40.7720097901,-40.4642624595,-40.2130502598,-39.9471001134,-39.5713264867,-39.1893190298,-38.9479677017,-38.7831893761,-38.5295468111,-38.4201848087,-38.2427192812,-38.1718253614
20,-42.349376993,-41.8421175853,-41.3713863784,-40.8221087979,-40.2364858422,-39.5308734789,-38.9988234932,-38.5235562131,-40.9504648023,-40.6386642548,-40.3838390718,-40.1144065968,-39.7354258435,-39.3506058958,-39.1085535158,-38.9435732361,-38.6878837223,-38.578212869,-38.4005394034,-38.328954705
